category_id,category_slug,category_name_en,category_name_fr,category_description_en,category_description_fr,group_id,group_title_en,group_title_fr,group_note_en,group_note_fr,quote_as_single_product,quote_item_id,product_line_en,product_line_fr,variation_id,variation_label_en,variation_label_fr
food,food,Food Products,Produits alimentaires,"B2B food lines sourced for supermarkets, distributors, and industrial buyers.","Gammes alimentaires B2B pour supermarchés, distributeurs et acheteurs industriels.",sugar,Sugar,Sucre,,,no,food-sugar-sugar,Sugar,Sucre,,,
food,food,Food Products,Produits alimentaires,"B2B food lines sourced for supermarkets, distributors, and industrial buyers.","Gammes alimentaires B2B pour supermarchés, distributeurs et acheteurs industriels.",salt,Salt,Sel,,,yes,food-salt,Salt,Sel,salt-1kg,1 kg,1 kg
food,food,Food Products,Produits alimentaires,"B2B food lines sourced for supermarkets, distributors, and industrial buyers.","Gammes alimentaires B2B pour supermarchés, distributeurs et acheteurs industriels.",salt,Salt,Sel,,,yes,food-salt,Salt,Sel,salt-25kg,25 kg,25 kg
food,food,Food Products,Produits alimentaires,"B2B food lines sourced for supermarkets, distributors, and industrial buyers.","Gammes alimentaires B2B pour supermarchés, distributeurs et acheteurs industriels.",rice,Rice,Riz,,,no,food-rice-rice,Rice,Riz,,,
food,food,Food Products,Produits alimentaires,"B2B food lines sourced for supermarkets, distributors, and industrial buyers.","Gammes alimentaires B2B pour supermarchés, distributeurs et acheteurs industriels.",oils,Oils,Huiles,,,no,food-oils-sunflower-oil,Sunflower Oil,Huile de tournesol,,,
food,food,Food Products,Produits alimentaires,"B2B food lines sourced for supermarkets, distributors, and industrial buyers.","Gammes alimentaires B2B pour supermarchés, distributeurs et acheteurs industriels.",oils,Oils,Huiles,,,no,food-oils-soybean-oil,Soybean Oil,Huile de soja,,,
food,food,Food Products,Produits alimentaires,"B2B food lines sourced for supermarkets, distributors, and industrial buyers.","Gammes alimentaires B2B pour supermarchés, distributeurs et acheteurs industriels.",oils,Oils,Huiles,,,no,food-oils-olive-oil,Olive Oil,Huile d’olive,,,
food,food,Food Products,Produits alimentaires,"B2B food lines sourced for supermarkets, distributors, and industrial buyers.","Gammes alimentaires B2B pour supermarchés, distributeurs et acheteurs industriels.",flour-bakery,Flour & Bakery Products,Farine et produits de boulangerie,,,no,food-flour-bakery-wheat-flour,Wheat Flour,Farine de blé,,,
food,food,Food Products,Produits alimentaires,"B2B food lines sourced for supermarkets, distributors, and industrial buyers.","Gammes alimentaires B2B pour supermarchés, distributeurs et acheteurs industriels.",flour-bakery,Flour & Bakery Products,Farine et produits de boulangerie,,,no,food-flour-bakery-rusks-dry-bread,Rusks & Dry Bread,Biscottes et pain sec,,,
food,food,Food Products,Produits alimentaires,"B2B food lines sourced for supermarkets, distributors, and industrial buyers.","Gammes alimentaires B2B pour supermarchés, distributeurs et acheteurs industriels.",flour-bakery,Flour & Bakery Products,Farine et produits de boulangerie,,,no,food-flour-bakery-bakery-products,Bakery Products,Produits de boulangerie,,,
